,line,price,from,to,trans,min,lat,lng
219,ＪＲ総武線快速,17.4,錦糸町,渋谷,0,28,35.6967393,139.8144835
220,ＪＲ総武線快速,11.5,新小岩,渋谷,1,38,35.7174462,139.8586312
221,ＪＲ総武線快速,10.8,市川,渋谷,1,44,35.728821,139.908197
222,ＪＲ総武線快速,9.9,船橋,渋谷,1,50,35.7017357,139.9853815
223,ＪＲ総武線快速,9.7,津田沼,渋谷,1,54,35.6912149,140.0204072
224,ＪＲ京葉線,15.5,潮見,渋谷,1,32,35.6587316,139.8174046
225,ＪＲ京葉線,19.8,新木場,渋谷,0,27,35.6459065,139.8267917
226,ＪＲ京葉線,10.8,葛西臨海公園,渋谷,1,36,35.6444342,139.8615775
227,ＪＲ京葉線,11.4,舞浜,渋谷,1,39,35.6361543,139.8838749
228,ＪＲ京葉線,11.9,新浦安,渋谷,1,42,35.6495086,139.9125145
229,ＪＲ京葉線,9.5,西船橋,渋谷,1,44,35.7074443,139.9590775
230,ＪＲ京葉線,8.9,二俣新町,渋谷,1,54,35.6913568,139.959505
231,ＪＲ京葉線,8.2,南船橋,渋谷,1,46,35.6819092,139.9955789
232,ＪＲ京葉線,11.7,海浜幕張,渋谷,1,51,35.6484764,140.0419868
233,ＪＲ京葉線,11.1,検見川浜,渋谷,1,54,35.637204,140.0592067
234,ＪＲ京葉線,6.8,稲毛海岸,渋谷,1,56,35.629503,140.073825
235,湘南新宿ライン宇須,7.3,新白岡,渋谷,0,58,36.0387413,139.6721114
236,湘南新宿ライン宇須,7.1,白岡,渋谷,0,55,36.017588,139.667094
237,湘南新宿ライン宇須,6.6,蓮田,渋谷,0,50,35.981286,139.653069
238,湘南新宿ライン宇須,7.1,東大宮,渋谷,0,46,35.9487549,139.6402863
239,湘南新宿ライン宇須,8.7,土呂,渋谷,0,43,35.9318741,139.6321561
240,湘南新宿ライン宇須,9.0,大宮,渋谷,0,37,35.9064485,139.6238548
241,湘南新宿ライン宇須,9.9,浦和,渋谷,0,31,35.8587283,139.6573784
242,湘南新宿ライン宇須,16.0,赤羽,渋谷,0,21,35.7776951,139.7205691
243,湘南新宿ライン宇須,19.6,池袋,渋谷,0,11,35.7295028,139.7109001
244,湘南新宿ライン宇須,17.3,西大井,渋谷,0,10,35.60179189999999,139.7218021
245,湘南新宿ライン宇須,14.0,武蔵小杉,渋谷,0,14,35.5766335,139.659466
246,湘南新宿ライン宇須,11.8,新川崎,渋谷,0,19,35.551696,139.671529
247,湘南新宿ライン宇須,15.8,横浜,渋谷,0,28,35.46598110000001,139.622062
248,湘南新宿ライン宇須,11.0,保土ケ谷,渋谷,0,32,35.4467618,139.5996306
249,湘南新宿ライン宇須,9.5,東戸塚,渋谷,0,37,35.4305843,139.5567901
250,湘南新宿ライン宇須,9.0,戸塚,渋谷,0,41,35.4006131,139.5342406
251,湘南新宿ライン宇須,9.2,大船,渋谷,0,46,35.3540475,139.5312989
252,湘南新宿ライン宇須,11.6,北鎌倉,渋谷,0,51,35.3372266,139.5451937
253,湘南新宿ライン宇須,15.8,鎌倉,渋谷,0,55,35.3190156,139.5504157
254,湘南新宿ライン高海,5.8,鴻巣,渋谷,0,57,36.0592413,139.5096429
255,湘南新宿ライン高海,5.9,北本,渋谷,0,53,36.0316056,139.5340041
256,湘南新宿ライン高海,6.3,桶川,渋谷,0,49,35.9987564,139.5640318
257,湘南新宿ライン高海,6.2,北上尾,渋谷,0,48,35.985623,139.5771969
258,湘南新宿ライン高海,6.3,上尾,渋谷,0,45,35.9735224,139.5888177
259,湘南新宿ライン高海,7.6,宮原,渋谷,0,41,35.9402916,139.6095706
260,湘南新宿ライン高海,9.0,大宮,渋谷,0,37,35.9064485,139.6238548
261,湘南新宿ライン高海,9.9,浦和,渋谷,0,31,35.8587283,139.6573784
262,湘南新宿ライン高海,16.0,赤羽,渋谷,0,21,35.7776951,139.7205691
263,湘南新宿ライン高海,19.6,池袋,渋谷,0,11,35.7295028,139.7109001
264,湘南新宿ライン高海,14.0,武蔵小杉,渋谷,0,14,35.5766335,139.659466
265,湘南新宿ライン高海,15.8,横浜,渋谷,0,28,35.46598110000001,139.622062
