line,station,query,lat,lng,success
京急空港線,羽田空港第1・第2ターミナル,京急空港線 羽田空港第1・第2ターミナル駅,35.5499709,139.786427,True
京急逗子線,新逗子,京急逗子線 新逗子駅,35.2959112,139.5812162,True
京成成田空港線,新鎌ヶ谷,京成成田空港線 新鎌ヶ谷駅,35.779401,139.998853,True
京成成田空港線,空港第２ビル（第２・第３旅客ターミナル）,京成成田空港線 空港第２ビル（第２・第３旅客ターミナル）駅,35.7731182,140.3871838,True
京成成田空港線,成田空港（第１旅客ターミナル）,京成成田空港線 成田空港（第１旅客ターミナル）駅,35.7647224,140.38487,True
京成押上線,押上（スカイツリー前）,京成押上線 押上（スカイツリー前）駅,35.710332,139.8132971,True
京成本線,成田空港（第１旅客ターミナル）,京成本線 成田空港（第１旅客ターミナル）駅,35.7647224,140.38487,True
京成本線,空港第２ビル（第２・第３旅客ターミナル）,京成本線 空港第２ビル（第２・第３旅客ターミナル）駅,35.7731182,140.3871838,True
北総鉄道北総線,新鎌ヶ谷,北総鉄道北総線 新鎌ヶ谷駅,35.779401,139.998853,True
新京成線,新鎌ヶ谷,新京成線 新鎌ヶ谷駅,35.779401,139.998853,True
東京モノレール,羽田空港第3ターミナル,東京モノレール 羽田空港第3ターミナル駅,35.5442587,139.7683199,True
東京モノレール,羽田空港第1ターミナル,東京モノレール 羽田空港第1ターミナル駅,35.5491383,139.7847121,True
東京モノレール,羽田空港第2ターミナル,東京モノレール 羽田空港第2ターミナル駅,35.55070020000001,139.7879961,True
東急田園都市線,南町田,東急田園都市線 南町田駅,35.5114471,139.4706636,True
東武伊勢崎線,押上〈スカイツリー前〉,東武伊勢崎線 押上〈スカイツリー前〉駅,35.7113453,139.8150661,True
東武伊勢崎線,獨協大学前〈草加松原〉,東武伊勢崎線 獨協大学前〈草加松原〉駅,35.8432776,139.8006731,True
東武佐野線,渡瀬,東武佐野線 渡瀬駅,36.2617458,139.5369097,True
東武佐野線,田島,東武佐野線 田島駅,36.2905805,139.564951,True
東武佐野線,佐野市,東武佐野線 佐野市駅,36.3060632,139.5751518,True
東武佐野線,佐野,東武佐野線 佐野駅,36.3168661,139.57884,True
東武佐野線,堀米,東武佐野線 堀米駅,36.3279561,139.5801658,True
東武佐野線,吉水,東武佐野線 吉水駅,36.34554809999999,139.579588,True
東武佐野線,田沼,東武佐野線 田沼駅,36.3669524,139.5815936,True
東武佐野線,多田,東武佐野線 多田駅,36.3782342,139.5932196,True
東武佐野線,葛生,東武佐野線 葛生駅,36.3981424,139.6089603,True
東武宇都宮線,野州平川,東武宇都宮線 野州平川駅,36.401743,139.753895,True
東武宇都宮線,野州大塚,東武宇都宮線 野州大塚駅,36.408824,139.7726244,True
東武宇都宮線,壬生,東武宇都宮線 壬生駅,36.42295319999999,139.8050711,True
東武宇都宮線,国谷,東武宇都宮線 国谷駅,36.451622,139.823727,True
東武宇都宮線,おもちゃのまち,東武宇都宮線 おもちゃのまち駅,36.46635980000001,139.8293921,True
東武宇都宮線,安塚,東武宇都宮線 安塚駅,36.485472,139.835389,True
東武宇都宮線,西川田,東武宇都宮線 西川田駅,36.5145506,139.8504098,True
東武宇都宮線,江曽島,東武宇都宮線 江曽島駅,36.5305452,139.8605644,True
東武宇都宮線,南宇都宮,東武宇都宮線 南宇都宮駅,36.5441167,139.8723017,True
東武宇都宮線,東武宇都宮,東武宇都宮線 東武宇都宮駅,36.558893,139.880553,True
東武小泉線,成島,東武小泉線 成島駅,36.2490856,139.5058693,True
東武小泉線,本中野,東武小泉線 本中野駅,36.2585515,139.4697577,True
東武小泉線,篠塚,東武小泉線 篠塚駅,36.2566612,139.4466253,True
東武小泉線,東小泉,東武小泉線 東小泉駅,36.2594455,139.4290935,True
東武小泉線,小泉町,東武小泉線 小泉町駅,36.2614951,139.4201208,True
東武小泉線,西小泉,東武小泉線 西小泉駅,36.258285,139.4083438,True
東武小泉線,竜舞,東武小泉線 竜舞駅,36.2791879,139.4088878,True
東武東上線,みなみ寄居（2020年10月31日開業）,東武東上線 みなみ寄居（2020年10月31日開業）駅,36.0908823,139.2363584,True
東武桐生線,三枚橋,東武桐生線 三枚橋駅,36.3135836,139.3548129,True
東武桐生線,治良門橋,東武桐生線 治良門橋駅,36.3329748,139.341164,True
東武桐生線,藪塚,東武桐生線 藪塚駅,36.3589735,139.315283,True
東武桐生線,阿左美,東武桐生線 阿左美駅,36.3870638,139.3085818,True
東武桐生線,新桐生,東武桐生線 新桐生駅,36.3951021,139.3202502,True
東武桐生線,相老,東武桐生線 相老駅,36.4104767,139.3044459,True
東武桐生線,赤城,東武桐生線 赤城駅,36.4257626,139.2762847,True
東武野田線,新鎌ヶ谷,東武野田線 新鎌ヶ谷駅,35.779401,139.998853,True
東武野田線,鎌ヶ谷,東武野田線 鎌ヶ谷駅,35.7637249,139.9972711,True
東武鬼怒川線,大谷向,東武鬼怒川線 大谷向駅,36.7324963,139.6919306,True
東武鬼怒川線,大桑,東武鬼怒川線 大桑駅,36.7605407,139.7132938,True
東武鬼怒川線,新高徳,東武鬼怒川線 新高徳駅,36.7794621,139.7111891,True
東武鬼怒川線,小佐越,東武鬼怒川線 小佐越駅,36.8022962,139.7066127,True
東武鬼怒川線,東武ワールドスクウェア,東武鬼怒川線 東武ワールドスクウェア駅,36.8086281,139.7093176,True
東武鬼怒川線,鬼怒川温泉,東武鬼怒川線 鬼怒川温泉駅,36.8232715,139.7166767,True
東武鬼怒川線,鬼怒川公園,東武鬼怒川線 鬼怒川公園駅,36.8409006,139.7228485,True
東武鬼怒川線,新藤原,東武鬼怒川線 新藤原駅,36.8527931,139.7327927,True
相鉄本線,希望ヶ丘,相鉄本線 希望ヶ丘駅,35.4604235,139.5141563,True
都電荒川線,早稲田（都電）,都電荒川線 早稲田（都電）駅,35.7117809,139.7191898,True
東京メトロ副都心線,明治神宮前〈原宿〉,東京メトロ副都心線 明治神宮前〈原宿〉駅,35.6690374,139.7042217,True
東京メトロ千代田線,二重橋前〈丸の内〉,東京メトロ千代田線 二重橋前〈丸の内〉駅,35.680665,139.7617446,True
東京メトロ千代田線,明治神宮前〈原宿〉,東京メトロ千代田線 明治神宮前〈原宿〉駅,35.6690374,139.7042217,True
東京メトロ半蔵門線,押上〈スカイツリー前〉,東京メトロ半蔵門線 押上〈スカイツリー前〉駅,35.710332,139.8132971,True
都営新宿線,市ヶ谷,都営新宿線 市ヶ谷駅,35.6910121,139.7355674,True
都営浅草線,押上（スカイツリー前）,都営浅草線 押上（スカイツリー前）駅,35.710332,139.8132971,True
いすみ鉄道いすみ線,西大原,いすみ鉄道いすみ線 西大原駅,35.2604973,140.3778703,True
いすみ鉄道いすみ線,上総東,いすみ鉄道いすみ線 上総東駅,35.2634002,140.3452152,True
いすみ鉄道いすみ線,新田野,いすみ鉄道いすみ線 新田野駅,35.2759109,140.3285682,True
いすみ鉄道いすみ線,国吉,いすみ鉄道いすみ線 国吉駅,35.2804933,140.313736,True
いすみ鉄道いすみ線,上総中川,いすみ鉄道いすみ線 上総中川駅,35.2827046,140.2804538,True
いすみ鉄道いすみ線,城見ヶ丘,いすみ鉄道いすみ線 城見ヶ丘駅,35.2916886,140.2525224,True
いすみ鉄道いすみ線,大多喜,いすみ鉄道いすみ線 大多喜駅,35.286546,140.243853,True
いすみ鉄道いすみ線,小谷松,いすみ鉄道いすみ線 小谷松駅,35.2689929,140.251075,True
いすみ鉄道いすみ線,東総元,いすみ鉄道いすみ線 東総元駅,35.259355,140.247437,True
いすみ鉄道いすみ線,久我原,いすみ鉄道いすみ線 久我原駅,35.2501293,140.2478598,True
いすみ鉄道いすみ線,総元,いすみ鉄道いすみ線 総元駅,35.2405791,140.2402993,True
いすみ鉄道いすみ線,西畑,いすみ鉄道いすみ線 西畑駅,35.250494,140.2151621,True
いすみ鉄道いすみ線,上総中野,いすみ鉄道いすみ線 上総中野駅,35.2500438,140.1998868,True
ひたちなか海浜鉄道湊線,日工前,ひたちなか海浜鉄道湊線 日工前駅,36.3880971,140.524589,True
ひたちなか海浜鉄道湊線,金上,ひたちなか海浜鉄道湊線 金上駅,36.3824313,140.5338385,True
ひたちなか海浜鉄道湊線,中根,ひたちなか海浜鉄道湊線 中根駅,36.3674338,140.562059,True
ひたちなか海浜鉄道湊線,那珂湊,ひたちなか海浜鉄道湊線 那珂湊駅,36.3449962,140.5880032,True
ひたちなか海浜鉄道湊線,殿山,ひたちなか海浜鉄道湊線 殿山駅,36.3498535,140.6017508,True
ひたちなか海浜鉄道湊線,平磯,ひたちなか海浜鉄道湊線 平磯駅,36.3575751,140.6076389,True
ひたちなか海浜鉄道湊線,美乃浜学園,ひたちなか海浜鉄道湊線 美乃浜学園駅,36.3726014,140.616693,True
ひたちなか海浜鉄道湊線,磯崎,ひたちなか海浜鉄道湊線 磯崎駅,36.377712,140.6179149,True
ひたちなか海浜鉄道湊線,阿字ヶ浦,ひたちなか海浜鉄道湊線 阿字ヶ浦駅,36.3840722,140.6124707,True
わたらせ渓谷鐵道,桐生,わたらせ渓谷鐵道 桐生駅,36.4110162,139.3331401,True
わたらせ渓谷鐵道,下新田,わたらせ渓谷鐵道 下新田駅,36.4075791,139.3150949,True
わたらせ渓谷鐵道,相老,わたらせ渓谷鐵道 相老駅,36.4104767,139.3044459,True
わたらせ渓谷鐵道,運動公園,わたらせ渓谷鐵道 運動公園駅,36.4205037,139.3009041,True
わたらせ渓谷鐵道,大間々,わたらせ渓谷鐵道 大間々駅,36.4346611,139.27743,True
わたらせ渓谷鐵道,上神梅,わたらせ渓谷鐵道 上神梅駅,36.4700597,139.2576238,True
わたらせ渓谷鐵道,本宿,わたらせ渓谷鐵道 本宿駅,36.481482,139.2590608,True
わたらせ渓谷鐵道,水沼,わたらせ渓谷鐵道 水沼駅,36.4998557,139.2776353,True
わたらせ渓谷鐵道,花輪,わたらせ渓谷鐵道 花輪駅,36.5207478,139.3078546,True
わたらせ渓谷鐵道,小中,わたらせ渓谷鐵道 小中駅,36.5357198,139.3378766,True
わたらせ渓谷鐵道,神戸,わたらせ渓谷鐵道 神戸駅,36.53748909999999,139.3562804,True
わたらせ渓谷鐵道,沢入,わたらせ渓谷鐵道 沢入駅,36.58043809999999,139.396311,True
わたらせ渓谷鐵道,原向,わたらせ渓谷鐵道 原向駅,36.6172277,139.4197522,True
わたらせ渓谷鐵道,通洞,わたらせ渓谷鐵道 通洞駅,36.63699150000001,139.4400654,True
わたらせ渓谷鐵道,足尾,わたらせ渓谷鐵道 足尾駅,36.6416696,139.4479156,True
わたらせ渓谷鐵道,間藤,わたらせ渓谷鐵道 間藤駅,36.6530985,139.4498648,True
上信電鉄上信線,南高崎,上信電鉄上信線 南高崎駅,36.3125268,139.0122481,True
上信電鉄上信線,根小屋,上信電鉄上信線 根小屋駅,36.29142179999999,139.0187656,True
上信電鉄上信線,高崎商科大学前,上信電鉄上信線 高崎商科大学前駅,36.2843567,139.0296023,True
上信電鉄上信線,山名,上信電鉄上信線 山名駅,36.2777357,139.0381095,True
上信電鉄上信線,西山名,上信電鉄上信線 西山名駅,36.2711002,139.0323984,True
上信電鉄上信線,馬庭,上信電鉄上信線 馬庭駅,36.2614816,139.0091397,True
上信電鉄上信線,吉井,上信電鉄上信線 吉井駅,36.2559553,138.9845412,True
上信電鉄上信線,西吉井,上信電鉄上信線 西吉井駅,36.25571619999999,138.9654706,True
上信電鉄上信線,上州新屋,上信電鉄上信線 上州新屋駅,36.2559502,138.9515314,True
上信電鉄上信線,上州福島,上信電鉄上信線 上州福島駅,36.2562995,138.929675,True
上信電鉄上信線,東富岡,上信電鉄上信線 東富岡駅,36.2608419,138.9018562,True
上信電鉄上信線,上州富岡,上信電鉄上信線 上州富岡駅,36.2605115,138.8919284,True
上信電鉄上信線,西富岡,上信電鉄上信線 西富岡駅,36.2601137,138.8832462,True
上信電鉄上信線,上州七日市,上信電鉄上信線 上州七日市駅,36.258607,138.8747152,True
上信電鉄上信線,上州一ノ宮,上信電鉄上信線 上州一ノ宮駅,36.2530952,138.8637592,True
上信電鉄上信線,神農原,上信電鉄上信線 神農原駅,36.2427415,138.843862,True
上信電鉄上信線,南蛇井,上信電鉄上信線 南蛇井駅,36.23824889999999,138.8140961,True
上信電鉄上信線,千平,上信電鉄上信線 千平駅,36.2302672,138.7988271,True
上信電鉄上信線,下仁田,上信電鉄上信線 下仁田駅,36.2105876,138.7861968,True
