line,station,lat,lng,price,to_station,trans,train_min,walk_min,total_min
JR内房線,館山,34.9959574,139.8618962,5.0,虎ノ門ヒルズ,2,157,4,161
JR内房線,九重,34.997678,139.9111008,4.0,虎ノ門ヒルズ,2,172,4,176
JR内房線,千倉,34.9767087,139.9547124,4.2,虎ノ門ヒルズ,2,182,4,186
JR内房線,江見,35.0625108,140.0611269,4.0,虎ノ門ヒルズ,2,579,4,583
JR内房線,太海,35.0814819,140.096151,4.0,虎ノ門ヒルズ,2,574,4,578
JR内房線,安房鴨川,35.1075625,140.1035382,9.4,虎ノ門ヒルズ,2,167,4,171
JR南武線,立川,35.6979144,139.4137408,5.0,虎ノ門ヒルズ,2,41,4,45
JR南武線,西国立,35.693459,139.4242584,5.2,虎ノ門ヒルズ,2,54,4,58
JR南武線,矢川,35.685063,139.431572,5.3,虎ノ門ヒルズ,2,56,4,60
JR南武線,谷保,35.68137,139.446738,5.0,虎ノ門ヒルズ,2,58,4,62
JR南武線,西府,35.6709726,139.4573727,4.1,虎ノ門ヒルズ,2,56,4,60
JR南武線,分倍河原,35.6685677,139.46874,5.0,虎ノ門ヒルズ,2,45,4,49
JR南武線,府中本町,35.6662815,139.4770873,5.2,虎ノ門ヒルズ,2,51,4,55
JR南武線,南多摩,35.6492761,139.4899059,4.0,虎ノ門ヒルズ,2,48,4,52
JR南武線,稲城長沼,35.644292,139.502568,4.1,虎ノ門ヒルズ,2,45,4,49
JR南武線,矢野口,35.6417094,139.5204551,4.1,虎ノ門ヒルズ,2,43,4,47
JR南武線,稲田堤,35.6334204,139.5356629,4.9,虎ノ門ヒルズ,2,42,4,46
JR南武線,中野島,35.6301215,139.5500898,4.8,虎ノ門ヒルズ,2,39,4,43
JR南武線,登戸,35.6207662,139.5700976,5.7,虎ノ門ヒルズ,2,31,4,35
JR南武線,宿河原,35.6153801,139.5797295,5.3,虎ノ門ヒルズ,2,37,4,41
JR南武線,久地,35.6106071,139.5925028,5.5,虎ノ門ヒルズ,2,35,4,39
JR南武線,津田山,35.6036047,139.6007276,6.3,虎ノ門ヒルズ,2,33,4,37
JR南武線,武蔵溝ノ口,35.5993971,139.6105195,6.9,虎ノ門ヒルズ,2,30,4,34
JR南武線,武蔵新城,35.58718,139.6298424,6.0,虎ノ門ヒルズ,1,28,4,32
JR南武線,武蔵中原,35.5807143,139.642107,6.2,虎ノ門ヒルズ,1,25,4,29
JR南武線,武蔵小杉,35.5766335,139.659466,6.3,虎ノ門ヒルズ,1,17,4,21
JR南武線,向河原,35.5721934,139.6672787,6.5,虎ノ門ヒルズ,1,28,4,32
JR南武線,平間,35.5605559,139.6710844,5.7,虎ノ門ヒルズ,2,30,4,34
JR南武線,鹿島田,35.5512456,139.6751584,6.0,虎ノ門ヒルズ,2,31,4,35
JR南武線,矢向,35.5389245,139.6804314,6.2,虎ノ門ヒルズ,2,34,4,38
JR南武線,尻手,35.5311934,139.6844966,6.8,虎ノ門ヒルズ,2,36,4,40
JR南武線,川崎,35.5313654,139.696889,6.5,虎ノ門ヒルズ,2,33,4,37
JR埼京線,川越,35.9071163,139.4824443,,虎ノ門ヒルズ,2,77,4,81
JR埼京線,南古谷,35.90318,139.519139,,虎ノ門ヒルズ,2,71,4,75
JR埼京線,指扇,35.91693,139.56494,,虎ノ門ヒルズ,2,66,4,70
JR埼京線,日進,35.1184274,137.0487428,,虎ノ門ヒルズ,2,169,4,173
JR埼京線,大宮,35.9064485,139.6238548,6.5,虎ノ門ヒルズ,2,54,4,58
JR埼京線,北与野,35.8907795,139.6286808,6.3,虎ノ門ヒルズ,2,52,4,56
JR埼京線,与野本町,35.88088,139.62602,5.1,虎ノ門ヒルズ,2,50,4,54
JR埼京線,南与野,35.8674942,139.6311953,5.0,虎ノ門ヒルズ,2,48,4,52
JR埼京線,中浦和,35.8538,139.637353,4.9,虎ノ門ヒルズ,2,46,4,50
JR埼京線,武蔵浦和,35.84595729999999,139.6476293,4.9,虎ノ門ヒルズ,2,43,4,47
JR埼京線,北戸田,35.827581,139.660269,5.4,虎ノ門ヒルズ,2,40,4,44
JR埼京線,戸田,35.8176661,139.6696195,5.3,虎ノ門ヒルズ,2,38,4,42
JR埼京線,戸田公園,35.8080807,139.6780402,5.0,虎ノ門ヒルズ,2,36,4,40
JR埼京線,浮間舟渡,35.7912024,139.6914026,6.1,虎ノ門ヒルズ,2,33,4,37
JR埼京線,北赤羽,35.7866831,139.706194,6.4,虎ノ門ヒルズ,2,31,4,35
JR埼京線,赤羽,35.7776951,139.7205691,7.0,虎ノ門ヒルズ,1,28,4,32
JR埼京線,十条,35.760257,139.7222387,6.5,虎ノ門ヒルズ,1,26,4,30
JR埼京線,板橋,35.7454959,139.7197748,6.8,虎ノ門ヒルズ,1,23,4,27
JR埼京線,池袋,35.7295028,139.7109001,7.3,虎ノ門ヒルズ,1,20,4,24
JR埼京線,新宿,35.6896067,139.7005713,8.2,虎ノ門ヒルズ,0,4,4,8
JR埼京線,渋谷,35.6580339,139.7016358,11.0,虎ノ門ヒルズ,1,18,4,22
JR埼京線,恵比寿,35.6467145,139.7100818,11.0,虎ノ門ヒルズ,0,1,4,5
JR埼京線,大崎,35.6198513,139.7281892,8.2,虎ノ門ヒルズ,0,9,4,13
JR埼京線,西大井,35.60179189999999,139.7218021,7.7,虎ノ門ヒルズ,0,14,4,18
JR埼京線,武蔵小杉,35.5766335,139.659466,6.3,虎ノ門ヒルズ,1,17,4,21
JR埼京線,羽沢横浜国大,35.48117,139.5860839,3.9,虎ノ門ヒルズ,2,37,4,41
JR外房線,千葉,35.6129259,140.1134781,6.0,虎ノ門ヒルズ,2,73,4,77
JR外房線,本千葉,35.6018503,140.1207196,6.1,虎ノ門ヒルズ,2,73,4,77
JR外房線,蘇我,35.5814199,140.1311605,5.3,虎ノ門ヒルズ,2,58,4,62
JR外房線,鎌取,35.5626526,140.1787359,4.3,虎ノ門ヒルズ,2,67,4,71
JR外房線,誉田,35.54700589999999,140.2138166,2.7,虎ノ門ヒルズ,2,71,4,75
